Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
TSX,0.8969422423556059,0.8674121405750799,0.985480943738657,0.9226847918436705,0.7842644651629332,0.8677404718693285
TSX,0.9156285390713477,0.944739638682253,0.9016227180527383,0.922677737415672,0.8310508335943461,0.9174780256930358
TSX,0.9071347678369196,0.9460887949260042,0.8878968253968254,0.9160696008188332,0.8144258745477612,0.9103072517485447
TSX,0.9167610419026048,0.9014634146341464,0.9525773195876288,0.9263157894736842,0.8325108708128638,0.912846448738538
TSX,0.9354473386183465,0.9221238938053097,0.9756554307116105,0.9481346678798908,0.8652673467105191,0.9247904660721377
TSX,0.8725934314835787,0.8995943204868154,0.8756169792694966,0.8874437218609306,0.7410931178287476,0.8720714378419195
TSX,0.9473386183465459,0.9501289767841788,0.9692982456140351,0.9596178897090752,0.8843324802929698,0.9383232442127684
TSX,0.9405436013590034,0.9490229396771452,0.9612736660929432,0.9551090209491234,0.8672626297746349,0.9309679588742863
TSX,0.9382785956964892,0.9319148936170213,0.9741992882562278,0.9525880817746847,0.8660574889370585,0.9247943481779581
TSX,0.9614949037372593,0.9706362153344209,0.9738134206219312,0.9722222222222222,0.9095050306309764,0.953818475016848
TSX,0.9093997734994338,0.9292412617220801,0.934018851756641,0.9316239316239316,0.7974213736798067,0.8977272889834957
TSX,0.934881087202718,0.9370892018779343,0.9541108986615678,0.9455234486025581,0.8648272065799991,0.9305276715530062
TSX,0.9354473386183465,0.9314671814671814,0.9573412698412699,0.9442270058708415,0.8681070195681064,0.9318368618335636
TSX,0.956964892412231,0.9622980251346499,0.969258589511754,0.9657657657657657,0.9078836822977885,0.9528111129376952
TSX,0.9043035107587769,0.9332023575638507,0.9039010466222646,0.9183180280328662,0.8034683374994842,0.9043980757586848
TSX,0.9371460928652322,0.9380362249761678,0.9553398058252427,0.9466089466089466,0.8704455545484168,0.9335122942169691
TSX,0.9592298980747452,0.9575389948006933,0.9796099290780141,0.9684487291849255,0.9113420178840391,0.9514037106205117
TSX,0.912797281993205,0.9158371040723982,0.9431500465983225,0.9292929292929293,0.816219147761047,0.904475456199594
TSX,0.9575311438278595,0.9447852760736196,0.9889908256880734,0.9663827879874495,0.9105686026694932,0.9478977797079421
TSX,0.9020385050962627,0.931,0.8995169082125604,0.9149877149877149,0.800162416054298,0.9025628316712597
TSX,0.9071347678369196,0.9645254074784276,0.8879082082965578,0.9246323529411764,0.8089078781265712,0.9147281957754512
