Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
TSX,0.9101694915254237,0.924408014571949,0.9303391384051329,0.927364093193239,0.8097050714411492,0.9040502761245105
TSX,0.9203389830508475,0.9446219382321619,0.9088114754098361,0.9263707571801567,0.8404161746396399,0.9216601457653714
TSX,0.8937853107344633,0.9160696008188332,0.8941058941058941,0.9049544994944388,0.7849328483270636,0.8937369522545076
TSX,0.9101694915254237,0.9486033519553073,0.8825363825363826,0.91437802907916,0.8225273532294618,0.9128028447335377
TSX,0.9152542372881356,0.9448275862068966,0.9107312440645774,0.9274661508704062,0.8264532595024143,0.9163140181271283
TSX,0.910472972972973,0.9354508196721312,0.9048562933597621,0.9198992443324937,0.8190763962851142,0.9113590462887468
TSX,0.9146892655367231,0.955045871559633,0.910761154855643,0.9323779668607255,0.8187125484742915,0.9163056173002297
TSX,0.9084745762711864,0.9381533101045296,0.9220890410958904,0.9300518134715026,0.7979762604133877,0.9020744208801711
TSX,0.9067796610169492,0.951310861423221,0.899911426040744,0.924897587619481,0.8044394649477439,0.9093940905554734
TSX,0.9327683615819209,0.9629941126997477,0.9385245901639344,0.950601909506019,0.8461259319877512,0.9292622950819671
TSX,0.9279279279279279,0.9517241379310345,0.9387755102040817,0.9452054794520548,0.8401248777269661,0.9227210884353743
TSX,0.8977401129943503,0.9208494208494209,0.905982905982906,0.9133556725706079,0.7887897149677713,0.8958087472731824
TSX,0.9141242937853107,0.9336016096579477,0.9151873767258383,0.9243027888446215,0.8253273752754752,0.9139428947121255
TSX,0.9209039548022598,0.95561850802644,0.9158371040723982,0.9353049907578558,0.8349266578093851,0.9225802061715374
TSX,0.9121621621621622,0.9232927970065482,0.9302544769085768,0.9267605633802817,0.8170957460746285,0.907784581111631
TSX,0.9,0.9081439393939394,0.9230028873917228,0.9155131264916468,0.7931982500285021,0.8951539744756151
TSX,0.9045197740112995,0.9294012511170688,0.9203539823008849,0.9248554913294798,0.7940292123811976,0.8984582411504426
TSX,0.8969594594594594,0.9345524542829644,0.8941068139963168,0.9138823529411765,0.7869891493757961,0.897778044679318
TSX,0.9231638418079096,0.95260663507109,0.921173235563703,0.9366262814538677,0.8398968004510473,0.9237677665300106
TSX,0.8941441441441441,0.8764241893076249,0.9551098376313276,0.9140767824497259,0.781786323471774,0.8808470998856226
TSX,0.918918918918919,0.9542961608775137,0.9173989455184535,0.935483870967742,0.827670763414465,0.9195145197811704
