Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
SP500,0.9194819819819819,0.9500509683995922,0.9083820662768031,0.9287493771798704,0.8374115065537868,0.9215243664717349
SP500,0.9256756756756757,0.9227421109902068,0.9328932893289329,0.9277899343544859,0.8512825988447996,0.9255008545837282
SP500,0.9228603603603603,0.9309021113243762,0.9371980676328503,0.9340394800192586,0.8411883685611335,0.9200160378650082
SP500,0.8665540540540541,0.9043570669500531,0.8527054108216433,0.8777720474471378,0.7326537116553601,0.8685120884442405
SP500,0.9307432432432432,0.9653808110781404,0.9172932330827067,0.9407228915662651,0.859195999513079,0.9340679648559601
SP500,0.618458075407991,0.8631090487238979,0.3753784056508577,0.5232067510548523,0.3479875126033838,0.6501573962096527
SP500,0.9076576576576577,0.9314179796107507,0.9178082191780822,0.9245630174793009,0.8057115416968114,0.904572244684489
SP500,0.8654279279279279,0.957169459962756,0.8419328419328419,0.8958605664488017,0.7196212643031468,0.8795249795249795
SP500,0.8772522522522522,0.8857827476038339,0.9366554054054054,0.9105090311986864,0.7184838812581216,0.8475506756756757
SP500,0.9070945945945946,0.9063670411985019,0.968,0.9361702127659575,0.7718330896506664,0.8651787072243347
SP500,0.6111423747889702,0.9584905660377359,0.4316057774001699,0.5951962507322788,0.40824684679187434,0.6974695553667516
SP500,0.8885135135135135,0.9355769230769231,0.8813405797101449,0.9076492537313432,0.7695190430662994,0.890819099378882
SP500,0.8823198198198198,0.8878842676311031,0.9203373945641987,0.9038196042337782,0.7531906267485892,0.8727215886784322
SP500,0.9042792792792793,0.9125964010282777,0.9399823477493381,0.9260869565217392,0.7910838197367841,0.8906754662541403
SP500,0.6128306133933596,0.9603960396039604,0.3660377358490566,0.5300546448087432,0.40234125259612,0.6718612668087681
SP500,0.8744369369369369,0.907563025210084,0.9052808046940486,0.9064204783885859,0.7156652984317665,0.8583007797055149
SP500,0.9149774774774775,0.9159159159159159,0.9690230341540905,0.941721343110768,0.7893266179423406,0.8761943023768519
SP500,0.6201463140123804,0.9154471544715447,0.47470489038785835,0.6252082176568574,0.3829925528264983,0.6933592133834385
SP500,0.8727477477477478,0.8635036496350365,0.9680851063829787,0.9128086419753086,0.6956324191797655,0.8152699900145941
SP500,0.5233539673607203,0.6789099526066351,0.49869451697127937,0.5750125439036629,0.06429487194418208,0.5335829272754485
SP500,0.9217782779966235,0.9242902208201893,0.9646090534979423,0.9440193314538865,0.8164765242052512,0.896895274079932
