Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
JKSE,0.7960140679953107,0.8064236111111112,0.881404174573055,0.842248413417951,0.5597028601476673,0.7696898173478772
JKSE,0.8669402110199297,0.8608198284080076,0.9176829268292683,0.8883423512051157,0.7264157328274513,0.8577334301736369
JKSE,0.861664712778429,0.8570119156736938,0.9211822660098522,0.8879392212725545,0.7110020420069358,0.8477112487791664
JKSE,0.854630715123095,0.8481012658227848,0.9214145383104125,0.8832391713747645,0.6957450746544791,0.8386142458993924
JKSE,0.8569753810082064,0.8195777351247601,0.9384615384615385,0.8749999999999999,0.7185715581526845,0.8511403169694627
JKSE,0.8181286549707603,0.804496578690127,0.8811563169164882,0.8410832907511496,0.6330993683005394,0.8117121790768008
JKSE,0.9531066822977726,0.9572425828970331,0.9725177304964538,0.9648197009674582,0.8947861002039742,0.9438713219956318
JKSE,0.9407971864009379,0.9544673539518901,0.9585849870578085,0.9565217391304348,0.8637970889684838,0.9308464240590688
JKSE,0.947831184056272,0.9597257926306769,0.963855421686747,0.9617861743237441,0.879628355542789,0.9387291814316088
JKSE,0.9466588511137163,0.947075208913649,0.967741935483871,0.957297043641483,0.8866471412005166,0.9401593113002177
JKSE,0.8894736842105263,0.8916299559471366,0.9387755102040817,0.9145955716222323,0.760325612730757,0.8720776285197624
JKSE,0.963071512309496,0.9758812615955473,0.9660238751147842,0.9709275496077526,0.9204177734401862,0.9619422454990452
JKSE,0.958968347010551,0.9653916211293261,0.9706959706959707,0.9680365296803652,0.9107812360684705,0.9544033599408193
JKSE,0.9384525205158265,0.93993993993994,0.9542682926829268,0.9470499243570348,0.873724501159635,0.9355828998040673
JKSE,0.9005847953216374,0.9067961165048544,0.9265873015873016,0.9165848871442591,0.7938934499418756,0.8949175824175825
JKSE,0.94021101992966,0.9838862559241706,0.9243098842386465,0.9531680440771348,0.8739838836198042,0.9475751822565445
JKSE,0.943728018757327,0.9545004945598418,0.9507389162561576,0.9526159921026653,0.8833630212159223,0.9420843640615085
JKSE,0.895906432748538,0.9300699300699301,0.8960538979788258,0.9127450980392157,0.7847061760345729,0.8958659951891148
JKSE,0.9407971864009379,0.9345971563981043,0.9685658153241651,0.9512783405692233,0.8768165519718447,0.9341375588248733
JKSE,0.8801169590643275,0.8864265927977839,0.9213051823416507,0.9035294117647058,0.7463521269873706,0.8685867229073523
JKSE,0.8760233918128655,0.8706365503080082,0.9079229122055674,0.8888888888888888,0.7496589382637742,0.8727758890924745
