Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
SSEC,0.92904953145917,0.9405815423514539,0.9265255292652553,0.9335006273525721,0.8575813368025625,0.9292540815646104
SSEC,0.9082998661311914,0.9070866141732283,0.8807339449541285,0.8937160589604345,0.8133844546525868,0.9052479248580166
SSEC,0.9042838018741634,0.9238985313751669,0.8894601542416453,0.9063523248199082,0.8091564547160247,0.9049256078470796
SSEC,0.9163319946452476,0.9515418502202643,0.8756756756756757,0.912033779028853,0.8351386393393706,0.9159545487131695
SSEC,0.8962516733601071,0.904887714663144,0.8919270833333334,0.898360655737705,0.7925112228284333,0.8963767648071626
SSEC,0.9044117647058824,0.8944099378881988,0.8847926267281107,0.8895752895752896,0.8053498511437911,0.9021596269735227
SSEC,0.9002677376171352,0.9495677233429395,0.8525226390685641,0.8984321745057942,0.8055218560591063,0.9019894748740879
SSEC,0.8975903614457831,0.9305555555555556,0.8963210702341137,0.9131175468483815,0.7893512541918432,0.8979092788356497
SSEC,0.9089692101740294,0.927810650887574,0.9126891734575088,0.92018779342723,0.8144342726062358,0.9083130906657623
SSEC,0.8734939759036144,0.888641425389755,0.8996617812852311,0.8941176470588236,0.7371115746450692,0.8674585677431098
SSEC,0.8970588235294118,0.8989637305699482,0.9012987012987013,0.9001297016861219,0.7939260171362287,0.8969303423848879
SSEC,0.9089692101740294,0.8974025974025974,0.9237967914438503,0.9104084321475626,0.8182859002100125,0.9089493340597268
SSEC,0.9076305220883534,0.9050991501416431,0.9,0.902542372881356,0.8147691897981391,0.9072704081632652
SSEC,0.8995983935742972,0.893048128342246,0.9051490514905149,0.8990578734858682,0.7992716448720624,0.8996644728352046
SSEC,0.8990641711229946,0.8637770897832817,0.8985507246376812,0.8808208366219417,0.7938084694920635,0.8989896480331263
SSEC,0.8982597054886211,0.9128329297820823,0.9040767386091128,0.908433734939759,0.7940285637933346,0.8974929147591019
SSEC,0.8808567603748326,0.8995327102803738,0.8932714617169374,0.8963911525029103,0.7562632239006593,0.8785977561749243
SSEC,0.8756684491978609,0.8404384896467723,0.9261744966442953,0.8812260536398467,0.7553400899929513,0.8758702043807363
SSEC,0.8989290495314591,0.9029940119760479,0.9150485436893204,0.9089813140446051,0.7954616645164617,0.8970765106506304
SSEC,0.8409090909090909,0.836441893830703,0.8246110325318247,0.8304843304843305,0.6806858891054353,0.8400621702583079
SSEC,0.8676470588235294,0.8537549407114624,0.8816326530612245,0.8674698795180723,0.7357403749270404,0.8678859717342916
