Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
HSI,0.9104938271604939,0.9130434782608695,0.9418960244648318,0.9272453587556447,0.8117019904115047,0.9020904222480653
HSI,0.9018518518518519,0.9290012033694344,0.8853211009174312,0.9066353493834409,0.8043485707381575,0.9032220477849188
HSI,0.9160493827160494,0.9066666666666666,0.9515608180839612,0.9285714285714284,0.8283396498246022,0.9099338099102874
HSI,0.9092592592592592,0.9146469968387777,0.9293361884368309,0.9219330855018587,0.8137694837786862,0.9056301933437798
HSI,0.8950617283950617,0.8918918918918919,0.9145496535796767,0.9030786773090079,0.7890118277376126,0.8936143493362575
HSI,0.9008009858287123,0.9105263157894737,0.8815286624203822,0.8957928802588996,0.8015720060481198,0.9001915388474225
HSI,0.908641975308642,0.9288061336254108,0.9108485499462943,0.9197396963123644,0.8139548086849344,0.9082544636523925
HSI,0.9037037037037037,0.916,0.9271255060728745,0.921529175050302,0.7970375221366782,0.8971070568339056
HSI,0.8981481481481481,0.8996138996138996,0.9385699899295066,0.9186791522917694,0.7838508601147349,0.8863503857143545
HSI,0.904320987654321,0.9035639412997903,0.9318918918918919,0.9175093134646087,0.8042296843588727,0.8997588955862337
HSI,0.8983364140480592,0.8989424206815512,0.9063981042654028,0.9026548672566371,0.7963054277861801,0.8980000790903395
HSI,0.9111111111111111,0.9278230500582072,0.906712172923777,0.9171461449942463,0.8215544322107674,0.9115207288370571
HSI,0.908641975308642,0.9191343963553531,0.9128959276018099,0.9160045402951192,0.8158944992130929,0.9082142681487311
HSI,0.8932098765432098,0.9224704336399474,0.8602941176470589,0.8902980342422321,0.7883332200210276,0.8934555165349722
HSI,0.9038817005545287,0.906030855539972,0.8789115646258503,0.8922651933701657,0.8058413602282275,0.9017305570876999
HSI,0.904320987654321,0.8868110236220472,0.9574920297555791,0.9207971384772611,0.8041918222939369,0.8940626569985554
HSI,0.8777777777777778,0.9051620648259304,0.86368843069874,0.8839390386869871,0.755940895035439,0.8789660359651665
HSI,0.8995686999383857,0.8830694275274056,0.9154040404040404,0.8989460632362059,0.7997044081480978,0.8999402873500347
HSI,0.9006172839506172,0.9005586592178771,0.9179954441913439,0.9091934574168077,0.7996472338029178,0.8990246762735695
HSI,0.9001848428835489,0.8820697954271961,0.9196988707653702,0.9004914004914004,0.8011582521141664,0.9005274014843799
HSI,0.9032655576093653,0.8896457765667575,0.8957475994513031,0.8926862611073136,0.8046498663003441,0.9025717863028327
