BnH,LR,SVM,DT,RF,XGB,LGB,MLP,CNN,LSTM,GRU,Transformer,CNN_LSTM,CNN_Transformer,GAN
-0.0010089910089908472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.012548550941141394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.00230525228681035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.02144217083495076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.030129016415119194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.012951854160174438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.004656761183132931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.001060591181380672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.015244560419078157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.016118106471150747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.008764534028744515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.006250741781065707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.008236681737762916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
-0.019146405662032663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.026517184487248237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
0.020681241649077316,0.0,0.0,-0.00016816516816516489,0.0,0.0,0.0,-0.00016816516816516489,,,,,,,
0.01701796657117368,0.0,0.0,0.0026681625936971092,-0.00016816516816516489,-0.0005044955044954946,-0.00016816516816516489,0.0023318322573667796,,,,,,,
0.008879603029511757,-0.00016816516816516489,-0.00033633033633032977,0.0014799338382519903,0.0008072731655913119,0.004103471178425584,0.0008072731655913119,0.00575157018484274,,,,,,,
0.0029214895898819213,-0.00035391090917873054,0.0003011691906333862,0.0004869149316469601,0.0022664094900697626,0.0022664094900698146,0.0024345746582349038,0.0024345746582349406,,,,,,,
-0.00422197640117983,-0.004221976401179953,-0.0035183136676499214,-0.0007036627335299585,-0.0042219764011798356,-0.004221976401179874,-0.003518313667649838,-0.003518313667649871,,,,,,,
