Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
BVSP,0.8870192307692307,0.8914835164835165,0.9127988748241913,0.9020152883947187,0.7689620027126406,0.8828426403916115
BVSP,0.8958333333333334,0.9133858267716536,0.8854961832061069,0.8992248062015504,0.7918916240203782,0.8963737239807937
BVSP,0.8926282051282052,0.8627717391304348,0.9505988023952096,0.9045584045584046,0.7873138934066928,0.8882304356803635
BVSP,0.8974358974358975,0.8856088560885609,0.9536423841059603,0.9183673469387754,0.7848185691053561,0.8825007052375643
BVSP,0.9110576923076923,0.897986577181208,0.9502840909090909,0.9233954451345755,0.8194426696318878,0.9052891042780749
BVSP,0.8891547049441786,0.8775510204081632,0.9162861491628614,0.896500372300819,0.778147093341027,0.887791315787461
BVSP,0.936698717948718,0.94679186228482,0.9307692307692308,0.9387121799844842,0.8734064932666515,0.9369565217391305
BVSP,0.9286858974358975,0.9309309309309309,0.9351432880844646,0.9330323551542514,0.8567792473700585,0.928255404725993
BVSP,0.9318910256410257,0.9323797139141743,0.956,0.9440421329822251,0.8575136018615842,0.9257911646586345
BVSP,0.9326923076923077,0.9542097488921714,0.9241773962804005,0.9389534883720931,0.8645448372500498,0.9338555469562294
BVSP,0.9122807017543859,0.9486754966887417,0.8788343558282209,0.9124203821656052,0.8272381809993296,0.9136696696084627
BVSP,0.9455128205128205,0.9769911504424779,0.9093904448105437,0.9419795221843003,0.8927792759194833,0.9445548167890472
BVSP,0.9615384615384616,0.9806547619047619,0.9495677233429395,0.9648609077598829,0.922991221573481,0.9630510096859102
BVSP,0.9543269230769231,0.960691823899371,0.9502332814930016,0.9554339327599687,0.908657569498943,0.9544554837217074
BVSP,0.9258373205741627,0.9226890756302522,0.9211409395973155,0.9219143576826196,0.8513005065252843,0.9256160625038249
BVSP,0.9599358974358975,0.955617198335645,0.9745403111739745,0.9649859943977591,0.9184210781597639,0.95769529421915
BVSP,0.9463141025641025,0.9455370650529501,0.9527439024390244,0.9491268033409264,0.8923295387859608,0.9459665458141068
BVSP,0.9122807017543859,0.9004815409309791,0.9211822660098522,0.9107142857142857,0.824734959340156,0.9125291175010503
BVSP,0.96875,0.9731182795698925,0.9744279946164199,0.9737726967047748,0.9351219030900131,0.9674120171101901
BVSP,0.9298245614035088,0.9269662921348315,0.9482758620689655,0.9375000000000001,0.8578114192237035,0.9275429489556297
BVSP,0.8787878787878788,0.9659735349716446,0.7922480620155039,0.8705281090289608,0.7718635283916294,0.8813457058845993
