Ticker,Accuracy,Precision,Recall,F1_Score,MCC,AUC
TSX,0.9184597961494904,0.9187062937062938,0.9537205081669692,0.935886019590383,0.8251059926151919,0.906830133601557
TSX,0.9133635334088335,0.9024154589371981,0.947261663286004,0.9242949035131124,0.824499603278774,0.9088872418994123
TSX,0.9093997734994338,0.9015151515151515,0.9444444444444444,0.9224806201550387,0.8149052145014094,0.9036206391087658
TSX,0.9280860702151755,0.9279187817258884,0.9422680412371134,0.9350383631713556,0.8546425035269529,0.926536030668808
TSX,0.9394110985277463,0.9412304866850322,0.9597378277153558,0.9503940658321742,0.872867745636056,0.9340236416513742
TSX,0.9009060022650056,0.8822992700729927,0.9545903257650543,0.917022285443338,0.7983146916941603,0.891637792364599
TSX,0.948471121177803,0.9670525378450578,0.9526315789473684,0.959787892178524,0.8882832925093668,0.946763073818732
TSX,0.9445073612684032,0.9618055555555556,0.9535283993115319,0.9576490924805532,0.8772625616214371,0.9403403585961632
TSX,0.9467723669309174,0.9565602836879432,0.9599644128113879,0.958259325044405,0.8848330919172767,0.9418202126362236
TSX,0.9665911664779162,0.9731489015459723,0.9787234042553191,0.9759281925744593,0.921390668660429,0.9590308197747183
TSX,0.921291053227633,0.9185667752442996,0.9665809768637532,0.9419624217118998,0.8225283834385382,0.8998180343417264
TSX,0.9518686296715742,0.950328022492971,0.9694072657743786,0.9597728348319924,0.9001616089326239,0.9478980773316338
TSX,0.9467723669309174,0.9489194499017681,0.9583333333333334,0.9536031589338599,0.891249439326683,0.9448658751099385
TSX,0.9597961494903737,0.9752066115702479,0.9602169981916817,0.9676537585421413,0.9147496514611948,0.9596539536412955
TSX,0.9224235560588901,0.9215867158671587,0.950523311132255,0.9358313817330212,0.8384633135181885,0.9158210961255682
TSX,0.9479048697621744,0.9527027027027027,0.958252427184466,0.9554695062923524,0.8927368360320276,0.9458381701139721
TSX,0.9665911664779162,0.9751111111111112,0.9725177304964538,0.9738126941855305,0.9276894029476609,0.9643152915805153
TSX,0.9297848244620611,0.9301903898458749,0.9561975768872321,0.9430147058823529,0.8521638449967874,0.9225432328880605
TSX,0.9631936579841449,0.9697525206232814,0.9706422018348624,0.9701971572673085,0.922085336919013,0.9609128168937626
TSX,0.9297848244620611,0.961499493414387,0.9169082125603865,0.9386745796241345,0.8579852502109268,0.9324623142145297
TSX,0.9354473386183465,0.9426585577758471,0.9576345984112974,0.9500875656742556,0.8589710997025808,0.9266845977838478
