Date,open,high,low,close,volume
2008-08-28,10443.26,10444.35,10261.6,10299.05,7717000.0
2008-08-31,10299.05,10443.22,10299.05,10443.22,6604000.0
2008-09-01,10443.22,10585.7,10443.22,10550.27,5077000.0
2008-09-02,10550.27,10558.98,10366.08,10375.33,3441000.0
2008-09-03,10375.33,10381.68,10245.29,10245.29,4937000.0
2008-09-04,10245.29,10245.29,9961.13,10032.98,5192000.0
2008-09-07,10006.84,10006.84,9714.94,9742.62,6387000.0
2008-09-08,9742.62,9806.79,9697.91,9770.24,3953000.0
2008-09-09,9770.24,9918.19,9770.24,9894.08,4722000.0
2008-09-10,9894.08,9894.08,9625.48,9625.48,5408000.0
2008-09-11,9625.48,9625.48,9403.93,9421.24,5126000.0
2008-09-14,9421.24,9421.24,8839.12,8840.48,7146000.0
2008-09-15,8840.48,8840.48,8216.03,8216.71,8875000.0
2008-09-16,8216.71,8216.71,7679.96,8176.12,13439000.0
2008-09-17,8176.12,8880.3,8176.12,8880.3,9752000.0
2008-09-18,8880.3,8880.3,8483.1,8555.72,12423000.0
2008-09-21,8555.72,9230.7,8555.72,9230.7,12245000.0
2008-09-22,9230.7,9431.63,9230.7,9431.63,13089000.0
2008-09-23,9431.63,9571.87,9422.65,9439.55,9722000.0
2008-09-24,9439.55,9439.55,9080.73,9091.39,4475000.0
2008-09-25,9091.39,9091.39,8899.02,8899.71,5394000.0
2008-09-28,8899.71,9163.18,8899.71,9074.11,6219000.0
2008-09-29,9074.11,9314.53,9074.11,9314.53,9390000.0
2008-10-05,9314.53,9314.53,8664.46,8664.46,7337000.0
2008-10-06,8664.46,8664.46,8116.49,8275.69,7785000.0
2008-10-07,8275.69,8275.69,8004.28,8147.46,8193000.0
2008-10-08,8147.46,8147.46,7432.49,7434.54,10959000.0
2008-10-09,7434.54,7714.27,7434.54,7573.62,9091000.0
2008-10-12,7573.62,7573.62,7007.4,7029.95,11051000.0
2008-10-13,7029.95,7624.09,7029.95,7624.09,10502000.0
2008-10-14,7624.09,8377.36,7624.09,8377.36,7337000.0
2008-10-15,8377.36,8377.36,8063.71,8098.96,13557000.0
2008-10-16,8098.96,8098.96,7613.05,7803.97,5706000.0
2008-10-19,7803.97,8041.32,7803.97,7901.62,6019000.0
2008-10-20,7901.62,7935.56,7825.91,7935.56,9472000.0
2008-10-21,7935.56,8224.21,7935.56,8185.68,8199000.0
2008-10-22,8185.68,8185.68,7918.45,7919.09,6050000.0
2008-10-23,7919.09,7919.09,7558.03,7569.23,9474000.0
2008-10-26,7569.23,7569.23,6891.08,6892.95,7089000.0
2008-10-27,6892.95,7039.5,6792.4,6792.4,9766000.0
2008-10-28,6792.4,6797.85,6432.67,6435.55,8090000.0
2008-10-29,6435.55,6890.22,6435.55,6766.48,11784000.0
2008-10-30,6766.48,6928.0,6707.15,6928.0,10745000.0
2008-11-02,6928.0,7310.06,6928.0,7291.29,11140000.0
2008-11-03,7291.29,7309.16,7169.52,7222.0,4926000.0
2008-11-04,7222.0,7330.63,7142.67,7330.63,7786000.0
2008-11-05,7330.63,7558.06,7330.63,7477.28,7601000.0
2008-11-06,7477.28,7477.28,7222.38,7406.27,8388000.0
2008-11-09,7406.27,7406.27,7021.96,7021.96,5695000.0
2008-11-10,7021.96,7021.96,6760.18,6765.6,5186000.0
2008-11-11,6765.6,6765.6,6330.52,6342.48,6562000.0
2008-11-12,6342.48,6342.48,5951.13,6043.12,7230000.0
2008-11-13,6043.12,6043.12,5853.69,5886.12,6465000.0
2008-11-16,5886.12,5886.12,5515.78,5585.78,8654000.0
2008-11-17,5585.78,5637.29,5546.27,5591.32,7485000.0
2008-11-18,5591.32,5827.96,5591.32,5750.08,6819000.0
2008-11-19,5750.08,5760.73,5619.93,5760.73,6389000.0
2008-11-20,5760.73,5818.19,5669.6,5809.27,8562000.0
2008-11-23,5809.27,5809.27,5575.81,5575.81,5038000.0
2008-11-24,5575.81,5598.67,5504.53,5504.53,4711000.0
2008-11-25,5504.53,5608.47,5504.53,5543.04,8080000.0
2008-11-26,5543.04,5591.98,5543.04,5587.47,6928000.0
2008-11-27,5587.47,5725.94,5587.47,5724.72,10372000.0
2008-11-30,5724.72,6071.39,5724.72,6071.39,11635000.0
