Date,open,high,low,close,volume
2000-04-10,539.57,540.21,529.31,540.17,83350.0
2000-04-11,540.17,540.17,534.6,534.6,92730.0
2000-04-12,534.6,545.16,531.89,545.16,68540.0
2000-04-13,545.16,554.49,537.96,545.63,166920.0
2000-04-14,545.63,545.63,532.99,535.52,1111000.0
2000-04-17,535.52,542.24,531.72,542.24,734330.0
2000-04-18,542.24,542.31,536.4,540.99,825810.0
2000-04-19,540.99,540.99,522.66,529.39,1206000.0
2000-04-20,529.39,529.39,513.03,513.44,1552000.0
2000-04-21,513.44,513.78,506.33,506.79,1564000.0
2000-04-24,506.79,511.59,505.07,509.15,1134000.0
2000-04-25,509.15,515.19,508.27,509.69,1242000.0
2000-04-26,509.69,509.78,501.92,501.92,779830.0
2000-04-27,501.92,510.03,499.29,510.01,1347000.0
2000-04-28,510.01,510.01,497.97,505.54,2178000.0
2000-05-02,505.54,509.5,500.28,508.7,327090.0
2000-05-03,508.7,512.89,503.08,512.89,1003000.0
2000-05-04,512.89,512.89,503.07,503.07,973450.0
2000-05-05,503.07,521.5,502.05,516.41,2044000.0
2000-05-08,516.41,535.62,511.59,527.09,347850.0
2000-05-09,527.09,537.34,526.99,536.06,791790.0
2000-05-10,536.06,547.75,534.02,540.82,1408000.0
2000-05-11,540.82,546.92,538.92,542.4,690070.0
2000-05-12,542.4,546.58,539.65,540.11,1380000.0
2000-05-15,540.11,541.81,534.16,534.58,553360.0
2000-05-16,534.58,544.21,531.76,542.08,379780.0
2000-05-17,542.08,555.12,534.81,554.18,1605000.0
2000-05-18,554.18,554.18,541.19,546.55,962670.0
2000-05-19,546.55,546.55,538.65,539.73,537020.0
2000-05-22,539.73,546.98,536.32,546.89,432900.0
2000-05-23,546.89,546.89,538.6,545.11,1654000.0
2000-05-24,545.11,545.55,538.7,541.35,1090000.0
2000-05-25,541.35,542.74,533.9,534.15,510140.0
2000-05-26,534.15,535.41,530.71,532.84,270330.0
2000-05-29,532.84,535.33,530.38,530.84,404080.0
2000-05-30,530.84,533.22,526.59,530.63,748190.0
2000-05-31,530.63,532.1,524.18,527.08,880700.0
2000-06-01,527.08,527.08,522.04,525.19,323510.0
2000-06-02,525.19,525.19,515.08,515.08,409960.0
2000-06-05,515.08,518.54,512.6,516.17,406520.0
2000-06-06,516.17,518.61,513.52,516.36,487190.0
2000-06-07,516.36,520.35,511.45,514.05,801880.0
2000-06-08,514.05,519.28,512.26,518.39,588460.0
2000-06-09,518.39,518.39,510.68,515.86,1309000.0
2000-06-12,515.86,519.0,512.06,515.95,323230.0
2000-06-13,515.95,515.95,512.65,514.15,865330.0
2000-06-14,514.15,516.75,510.93,512.23,727630.0
2000-06-15,512.23,526.85,512.23,524.13,2161000.0
2000-06-16,524.13,531.27,521.75,527.31,1005000.0
2000-06-19,527.31,530.27,525.27,529.9,750000.0
2000-06-20,529.9,538.69,528.88,533.9,799220.0
2000-06-21,533.9,537.84,531.09,533.37,2143000.0
2000-06-22,533.37,539.35,532.35,538.39,925140.0
2000-06-23,538.39,538.39,532.11,536.62,149020.0
2000-06-26,536.62,538.94,533.09,535.88,196210.0
2000-06-27,535.88,538.88,533.63,537.31,1465000.0
2000-06-28,537.31,542.48,536.48,536.97,641050.0
2000-06-29,536.97,537.81,533.99,534.97,301300.0
2000-06-30,534.97,543.26,528.4,539.35,122770.0
2000-07-03,539.35,539.54,525.35,525.35,342440.0
2000-07-04,525.35,526.37,521.96,526.37,210270.0
2000-07-05,526.37,526.37,523.03,525.33,201080.0
2000-07-06,525.33,530.5,524.26,530.5,265270.0
2000-07-07,530.5,531.3,526.9,531.12,332680.0
2000-07-10,531.12,531.12,527.68,530.44,292440.0
2000-07-11,530.44,530.62,524.41,530.23,1420000.0
2000-07-12,530.23,532.11,526.32,532.11,52180.0
2000-07-13,532.11,555.45,529.92,547.21,1700000.0
2000-07-14,547.21,555.03,536.0,540.38,483150.0
2000-07-17,540.38,548.02,535.45,546.58,613360.0
2000-07-18,546.58,560.74,541.17,558.74,1481000.0
2000-07-19,558.74,560.09,550.48,559.73,216560.0
2000-07-20,559.73,582.19,556.43,582.19,270510.0
2000-07-21,582.19,582.19,565.18,565.18,412390.0
2000-07-24,565.18,598.0,559.31,598.0,382620.0
2000-07-25,598.0,607.86,591.72,597.37,870310.0
2000-07-26,597.37,599.33,589.76,596.73,6658000.0
2000-07-27,596.73,598.55,575.84,576.88,404460.0
2000-07-28,576.88,594.73,571.7,576.02,250570.0
2000-07-31,576.02,582.24,568.29,573.79,199100.0
2000-08-01,573.79,573.79,569.7,571.96,143590.0
2000-08-02,571.96,572.7,566.5,567.61,168650.0
